question,option_A,option_B,option_C,option_D,correct
"If x + 1/x = 3, what is x^3 + 1/x^3?","9","15","18","27","C"
"In triangle ABC, the angle bisector of angle A intersects BC at D. If BD = 6, DC = 9, and AB = 10, what is the length of AC?","12","15","14","16","B"
"How many distinct permutations can be made from all the letters of the word BALLOON?","5040","720","1260","2520","C"
"For what value of k is the function f(x) continuous at x = 2, if f(x) = (x^2 - 4)/(x - 2) for x ≠ 2 and f(2) = k?","0","2","4","6","C"
"What is the remainder when 7^2025 is divided by 9?","1","7","4","8","A"
"Two fair six-sided dice are rolled. Given that both dice show even numbers, what is the probability that their sum is 8?","1/6","1/4","5/36","1/3","D"
"Which of the following numbers is prime: 141, 143, 147, or 149?","141","149","143","147","B"
"What is lim_{x->0} (1 - cos(3x)) / (x^2)?","3/2","0","9","9/2","D"
"How many ordered integer pairs (x, y) satisfy x^2 + y^2 = 25?","4","8","10","12","D"
"In a class of 100 students, 60 speak French, 50 speak Spanish, and 40 speak German. If 30 students speak both French and Spanish, 20 speak both French and German, 25 speak both Spanish and German, and 10 speak all three languages, how many students speak at least one of these languages?","65","75","85","95","C"
"What is the sum of the infinite series 1 - 1/2 + 1/4 - 1/8 + ...?","2","2/3","1/2","1","B"
"What is the measure of the smaller angle between the hour and minute hands of a clock at 5:42?","81°","70°","90°","102°","A"
"What is the sum of all real solutions of the equation abs(2x - 5) = abs(x + 3)?","8","10","26/3","32/3","C"
"In a certain population, 1% have a disease. A test for it is 90% sensitive and 90% specific. If a person tests positive, approximately what is the probability they actually have the disease?","90%","50%","10%","8%","D"
"Ten years ago, a father was three times as old as his son. In 10 years, the father will be twice as old as the son. How old is the son now?","20","30","40","50","B"
"Solve for x: log2(x) + log2(x - 2) = 3.","-2","4","5","10","B"
"What is the exact value of cos(75°)?","(√6 + √2)/4","(√6 - √2)/4","√2/2","√3/2","B"
"In a series circuit of three identical light bulbs connected to a battery, what happens to the other two bulbs if one bulb burns out (open circuit)?","They all go out (no current flows).","They stay lit with the same brightness.","They become brighter.","They become dimmer but still emit light.","A"
"A large truck and a small car collide head-on. How do the magnitudes of the force on the truck and on the car compare during the collision?","The truck exerts a larger force on the car than the car exerts on the truck.","The car exerts a larger force on the truck than the truck exerts on the car.","They exert equal and opposite forces on each other.","The truck exerts a force on the car, and the car exerts no force on the truck.","C"
"Which of the following elements has the largest atomic radius? Sodium (Na), Aluminum (Al), Potassium (K), or Calcium (Ca)?","Sodium","Aluminum","Potassium","Calcium","C"
"For a fixed amount of an ideal gas at constant temperature, if the volume of the gas is doubled, what happens to its pressure?","It is halved.","It doubles.","It remains unchanged.","It is reduced to one-fourth.","A"
"An acid solution has pH 3. If it is diluted so that its hydrogen ion concentration is reduced to one-tenth of the original, what will the new pH be (at 25°C)?","2","3","4","5","C"
"Green plants reflect green light and absorb red and blue light for photosynthesis. If a healthy green plant is illuminated only with green light, what will likely happen to the plant?","It will grow normally, since light is present.","It will grow faster than usual under green light.","It will grow poorly and may die from lack of effective light.","It will change its leaf color to use the green light.","C"
"In pea plants, tall (T) is dominant over short (t). A tall heterozygous plant (Tt) is crossed with a short plant (tt). What fraction of their offspring is expected to be short?","0","1/4","1/2","3/4","C"
"What happens to a human red blood cell placed in pure water?","It swells and may burst (lyse) as water enters.","It shrinks and crenates as water leaves.","It remains unchanged due to cell wall support.","It pumps out water to maintain its size.","A"
"What is the primary reason for the occurrence of seasons on Earth?","The tilt of Earth's rotational axis relative to its orbit around the Sun.","The changing distance between Earth and the Sun during the year.","Regular fluctuations in the Sun’s energy output.","The Earth's axis shifting back and forth each year.","A"
"When a straight straw is placed in a glass of water, it appears bent at the water’s surface. What causes this optical illusion?","Refraction of light as it passes from water to air.","Reflection of light off the water’s surface.","The straw actually bends due to water pressure.","Diffraction of light around the straw.","A"
"A certain reversible reaction is exothermic. According to Le Châtelier’s principle, what happens to the equilibrium if the temperature is increased?","It shifts toward reactants (producing fewer products).","It shifts toward products (producing more products).","Temperature change has no effect on the equilibrium.","The reaction stops and cannot reach equilibrium at higher temperature.","A"
"What primarily causes the ocean tides on Earth?","The gravitational pull of the Moon on Earth’s oceans.","The gravitational pull of the Sun alone.","Earth’s rotation on its axis.","Large ocean currents and wind patterns.","A"
"In a thunderstorm, you see the lightning before you hear the thunder. Why?","Because light travels much faster than sound.","Because the sound is produced later than the light.","Because the human eye reacts faster than the ear.","Because air absorbs the sound of thunder initially.","A"
"What happens to the temperature of pure boiling water as heat is continuously added (at standard atmospheric pressure)?","It remains at approximately 100°C until all the water boils away.","It increases above 100°C as more heat is added.","It briefly decreases then rises again.","It keeps rising steadily as long as heat is applied.","A"
"What is a likely outcome of stopping a course of antibiotics early (not taking all doses as prescribed)?","Some bacteria may survive and develop antibiotic resistance.","All bacteria will still be killed, so it has no effect.","The immune system will destroy all remaining bacteria, preventing resistance.","The infection will return with bacteria that are easier to kill than before.","A"
"If Earth’s mass were doubled while its radius remained the same, what would happen to the weight of objects on Earth’s surface?","It would double.","It would remain unchanged.","It would be cut in half.","It would become four times larger.","A"
"What happens if you cut a bar magnet in half?","Each half becomes a smaller magnet with both a north and south pole.","One half is a north pole and the other is a south pole.","Both halves lose their magnetism entirely.","The poles reverse on one half of the magnet.","A"
"Which of the following events happened first? (A) American Declaration of Independence, (B) French Revolution, (C) American Civil War, (D) World War I","American Declaration of Independence (1776)","French Revolution (1789)","American Civil War (1861–1865)","World War I (1914–1918)","A"
"What event in 1914 is often cited as the immediate trigger for the outbreak of World War I?","The assassination of Archduke Franz Ferdinand of Austria-Hungary","Germany’s invasion of Poland","The sinking of the ocean liner Lusitania","The signing of the Treaty of Versailles","A"
"One significant effect of Johannes Gutenberg’s invention of the printing press was:","A sharp increase in literacy as books became more widely available.","A decline in the spread of new ideas across Europe.","Stronger government control over the content of written materials.","A sudden decrease in the production of printed books.","A"
"As a result of the Columbian Exchange after 1492, what happened to indigenous populations in the Americas?","They suffered massive declines due to diseases brought by Europeans.","They encountered no significant changes in their population or way of life.","European populations were devastated by diseases from the Americas.","The native peoples quickly industrialized with European technology.","A"
"Why was the Magna Carta, signed in 1215, historically significant?","It limited the power of the English king and established the rule of law.","It gave the monarch unlimited authority to tax the nobility.","It established the Parliament of England for the first time.","It separated England from the Catholic Church.","A"
"Which of the following was a major cause of the French Revolution in 1789?","France’s financial crisis and the unfair taxation of the Third Estate","France’s defeat in the Franco-Prussian War","The influence of Marxist ideology among the French peasantry","A foreign invasion by British forces in 1788","A"
"Which was an outcome of the Treaty of Versailles (1919) that ended World War I?","Germany was forced to accept blame for the war and pay heavy reparations.","Germany gained additional territories as part of the treaty.","The treaty was very lenient and imposed no harsh terms on Germany.","It directly created the United Nations to prevent future conflicts.","A"
"During the Cuban Missile Crisis of 1962, the United States confronted which country about nuclear missiles in Cuba?","The Soviet Union","China","Cuba","East Germany","A"
"Which empire was the largest contiguous land empire in history?","The Mongol Empire","The Roman Empire","The British Empire","The Ottoman Empire","A"
"Which civilization is generally credited with developing the earliest known writing system?","The Sumerians of ancient Mesopotamia","The ancient Egyptians","The ancient Chinese","The ancient Greeks","A"
"In which region of Europe did the Renaissance begin during the 14th–15th centuries?","The city-states of Italy","England","Spain","Scandinavia","A"
"Which European explorer was the first to reach India by sea, sailing around the southern tip of Africa?","Vasco da Gama","Christopher Columbus","Ferdinand Magellan","James Cook","A"
"Which action is traditionally considered to have started the Protestant Reformation in 1517?","Martin Luther nailing his Ninety-Five Theses to the church door in Wittenberg","King Henry VIII establishing the Church of England","The convening of the Council of Trent by the Catholic Church","Johannes Gutenberg printing the first mass-produced Bible","A"
"Which country suffered the highest number of total casualties (military and civilian) in World War II?","The Soviet Union","Germany","The United States","The United Kingdom","A"
"Why was the Silk Road important in ancient and medieval history?","It facilitated trade and cultural exchange between East Asia and Europe.","It was the first all-water trade route to East Asia.","It was a military alliance between China and the Roman Empire.","It marked the boundary of China’s territory under the Han Dynasty.","A"
"Which of the following was a major factor in the fall of the Western Roman Empire in the 5th century?","Internal political instability and economic decline within the empire","The Western Romans voluntarily surrendered power to the Eastern Empire","A massive volcanic eruption that destroyed the city of Rome","The conquest of Rome by Alexander the Great","A"
